834,0
160,1
472,0
39,3
322,1
161,4
490,2
81,1
939,0
740,2
16,4
771,0
529,0
257,3
746,4
813,1
120,2
438,4
479,3
780,4
11,2
559,0
905,2
84,0
673,1
38,1
103,2
469,0
331,3
813,1
565,3
829,4
194,1
676,3
816,4
494,0
510,0
849,3
941,3
355,3
694,3
284,0
596,0
460,3
608,2
248,4
307,1
16,1
895,3
606,1
128,1
523,4
552,2
36,0
39,2
631,2
169,3
300,1
238,2
331,1
552,3
512,4
349,1
370,1
645,1
413,2
620,0
822,1
22,3
903,2
409,1
583,1
31,1
140,4
345,3
368,1
86,0
350,2
366,4
93,0
257,1
307,0
652,3
760,3
335,0
724,1
758,2
238,0
628,3
73,3
530,3
550,3
365,1
571,3
608,1
570,4
4,1
356,1
582,4
232,0
573,0
87,2
126,2
652,1
486,3
485,1
672,0
778,3
525,4
565,3
434,0
452,1
931,4
565,3
862,4
17,3
791,4
818,4
831,3
835,4
173,1
80,2
133,0
363,2
686,2
69,1
95,0
650,1
416,0
203,1
384,3
391,0
428,4
818,3
316,4
920,0
275,1
339,1
231,0
761,4
201,2
183,1
767,0
626,2
45,3
385,4
73,0
44,0
629,2
205,0
308,4
589,3
278,1
217,2
17,3
557,3
160,2
637,1
830,3
6,4
386,3
896,3
732,2
902,3
865,0
701,3
226,1
745,0
754,4
102,3
12,4
704,3
138,0
311,1
404,3
87,4
876,3
279,2
136,1
63,2
815,3
280,1
835,3
433,4
803,4
18,3
719,2
3,4
198,3
51,3
129,0
456,0
813,2
153,0
378,2
832,2
489,2
56,2
157,0
16,0
738,0
80,0
84,2
843,3
140,1
408,4
197,0
721,4
453,0
803,4
464,0
870,3
604,3
424,0
626,1
595,1
24,2
197,4
940,0
185,1
4,1
472,3
636,2
339,2
18,2
0,1
157,4
246,0
209,2
454,1
496,2
685,0
470,3
23,1
197,2
794,4
819,2
816,0
840,2
361,4
11,1
85,2
72,3
795,3
564,3
530,4
498,3
135,1
662,0
169,0
9,0
731,0
608,2
551,1
354,3
477,4
778,0
300,1
19,3
735,0
265,2
244,4
747,3
301,2
658,2
649,1
244,0
81,3
632,3
286,1
902,0
317,1
318,1
359,2
600,2
518,3
617,3
537,3
899,3
471,4
918,0
589,3
199,1
3,3
897,0
390,2
